cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,11BC,L,Resultant,preRiCTO,21.98473537613379,28.339557840529608,3.355698895616307,2.174409773684282,33.01410232295555,BC
15kg_10bpm,11BC,L,Vertical,preRiCTO,22.853202340768302,29.8570596269741,2.664498320254302,3.5160925439865305,33.95500013530795,BC
15kg_10bpm,11BC,R,AP,preRiCTO,9.299508338748572,8.42489902002041,2.162461603365443,7.355583584557901,14.531890727165399,BC
15kg_10bpm,11BC,R,ML,preRiCTO,14.68591963026809,21.803723635299495,7.399043532027541,11.778988901179591,13.951812739774853,BC
15kg_10bpm,11BC,R,Resultant,preRiCTO,21.485390601346253,27.694568965706296,3.560611236737743,2.2811173463369805,32.2263974247666,BC
15kg_10bpm,11BC,R,Vertical,preRiCTO,22.479887129335953,31.06879223481807,2.455707746429986,2.7046637560375983,31.970231900840385,BC
15kg_10bpm,12BC,L,AP,preRiCTO,6.93731998061059,11.873641415598295,4.538108002825231,2.7933125489052473,4.907834267649354,BC
15kg_10bpm,12BC,L,ML,preRiCTO,6.959576868607706,6.743141002059479,3.322838494550939,7.807743515192747,8.671804672786514,BC
15kg_10bpm,12BC,L,Resultant,preRiCTO,17.701306937359117,19.860999530966787,1.6969403025660632,1.1655401594232324,28.876080186776157,BC
15kg_10bpm,12BC,L,Vertical,preRiCTO,18.377988847262575,21.270304124048568,2.034027335939303,2.5471640953248524,29.44128389990596,BC
15kg_10bpm,12BC,R,AP,preRiCTO,7.933412711988753,12.93234427364408,1.8055816749203397,3.6691143796910426,8.222018783846996,BC
15kg_10bpm,12BC,R,ML,preRiCTO,11.905848112567634,19.750158601089744,6.65186552774525,5.439256964769405,10.226532694657989,BC
15kg_10bpm,12BC,R,Resultant,preRiCTO,18.182122969556456,23.63882135592864,2.9251346278980166,2.0480991512674978,27.104444865493402,BC
