cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_10bpm,12AB,R,Resultant,HeavyHand,25.535432667840684,25.961773521579005,3.9387667118418923,2.4067538630754925,43.17891654369809,AB
15kg_10bpm,12AB,R,Resultant,postRiCTO,4.2627503043769535,5.751952109254114,3.93200259152879,2.407106151958097,4.282258206657549,AB
15kg_10bpm,12AB,R,Resultant,preRiCTO,23.486902614729633,20.142177757128362,3.93200259152879,2.407106151958097,41.621481513412434,AB
15kg_10bpm,12AB,R,Vertical,HeavyHand,26.69447523223543,27.248138839328444,9.481158964552463,4.308549851133897,44.15844270565937,AB
15kg_10bpm,12AB,R,Vertical,postRiCTO,6.300294814368669,6.072678080897101,9.46842663475056,4.3519661703363965,3.7843905136437423,AB
15kg_10bpm,12AB,R,Vertical,preRiCTO,24.632911122121474,21.006352254036315,9.46842663475056,4.3519661703363965,42.7597819027918,AB
15kg_10bpm,13AB,L,AP,HeavyHand,15.611368508497915,8.451551962061293,14.274123445068343,18.669291689472384,18.628093884014692,AB
15kg_10bpm,13AB,L,AP,postRiCTO,15.202721420769311,8.91514408299084,14.333858699619496,18.50040679870213,17.168047046749063,AB
15kg_10bpm,13AB,L,AP,preRiCTO,15.605813821111091,8.443001544255532,14.333858699619496,18.50040679870213,18.731363175348463,AB
15kg_10bpm,13AB,L,ML,HeavyHand,17.5072545060622,20.761978529016194,13.747682581279609,21.836602805787223,11.659440252475159,AB
15kg_10bpm,13AB,L,ML,postRiCTO,17.051329826920554,20.763428715735532,13.765587875806963,21.78485268288398,8.73928582528275,AB
15kg_10bpm,13AB,L,ML,preRiCTO,17.516790559669367,20.818608056848376,13.765587875806963,21.78485268288398,11.690712400956238,AB
15kg_10bpm,13AB,L,Resultant,HeavyHand,25.554732830035288,26.979356172959637,8.407936685789787,5.799421400265203,41.67279719918981,AB
15kg_10bpm,13AB,L,Resultant,postRiCTO,6.6172683365288645,3.5526059096022067,8.370396708673477,5.839660544002798,7.603029854131012,AB
15kg_10bpm,13AB,L,Resultant,preRiCTO,23.842134148692125,27.08437607376205,8.370396708673477,5.839660544002798,37.452517809127905,AB
15kg_10bpm,13AB,L,Vertical,HeavyHand,27.45708279236391,32.47791922993732,8.21504590630348,2.8193672276929034,42.91617712485023,AB
15kg_10bpm,13AB,L,Vertical,postRiCTO,6.332857734180413,7.4819478801037915,8.17733342035164,2.7678470714463432,5.504827291501123,AB
15kg_10bpm,13AB,L,Vertical,preRiCTO,25.835071493096354,32.58068452407917,8.17733342035164,2.7678470714463432,38.73567911102079,AB
15kg_10bpm,13AB,R,AP,HeavyHand,14.918738652112722,9.28473745510067,9.841667870724685,18.36964406327285,19.08153566076154,AB
15kg_10bpm,13AB,R,AP,postRiCTO,13.843274484798206,10.167709802786105,9.820457847781485,18.532825015133753,14.900991376706408,AB
15kg_10bpm,13AB,R,AP,preRiCTO,14.818504081722473,9.327459175472109,9.820457847781485,18.532825015133753,18.611082444783353,AB
15kg_10bpm,13AB,R,ML,HeavyHand,16.631061232342557,22.560349178965843,16.83430378042206,8.570107128831582,15.554575251854239,AB
15kg_10bpm,13AB,R,ML,postRiCTO,16.339178041206498,22.050108801521528,16.847305671838676,8.570609048791393,15.033915497229104,AB
15kg_10bpm,13AB,R,ML,preRiCTO,16.62546456398035,22.550230875152373,16.847305671838676,8.570609048791393,15.531623149398362,AB
15kg_10bpm,13AB,R,Resultant,HeavyHand,27.91596838839407,23.80212100446903,3.5861872236865153,2.2248655598629736,49.652886332707844,AB
15kg_10bpm,13AB,R,Resultant,postRiCTO,4.965119651692361,6.0789402527383105,3.5706925662830966,2.1064247535325213,6.611133085935242,AB
15kg_10bpm,13AB,R,Resultant,preRiCTO,26.123933198644778,23.852345094738073,3.5706925662830966,2.1064247535325213,45.689342947529376,AB
15kg_10bpm,13AB,R,Vertical,HeavyHand,28.48947585261224,27.07489416642381,6.506779956985526,2.6853773112289936,48.99438366523037,AB
15kg_10bpm,13AB,R,Vertical,postRiCTO,5.819611458088479,5.4930757368455865,6.4574955775696425,2.794498008062696,7.412559241640547,AB
15kg_10bpm,13AB,R,Vertical,preRiCTO,26.794583904491518,27.133221667144287,6.4574955775696425,2.794498008062696,45.09388400064477,AB
15kg_10bpm,1AB,L,AP,HeavyHand,15.024167092457066,8.189495784605862,9.099252884039831,18.002046238802006,20.521880867733227,AB
15kg_10bpm,1AB,L,AP,postRiCTO,14.24499549346982,7.482964530877689,9.03101364955163,18.041471933796174,18.52097841361625,AB
15kg_10bpm,1AB,L,AP,preRiCTO,15.012793423615642,8.074819553146707,9.03101364955163,18.041471933796174,20.528933528343952,AB
15kg_10bpm,1AB,L,ML,HeavyHand,20.493693822988636,19.668923895179624,19.811037578535228,24.129574823567523,17.952540188898606,AB
15kg_10bpm,1AB,L,ML,postRiCTO,19.238943091119,19.902552410369672,19.763210934215916,24.136656615713097,11.010436956025865,AB
15kg_10bpm,1AB,L,ML,preRiCTO,20.440087079672594,19.75979032683489,19.763210934215916,24.136656615713097,17.65830903013076,AB
15kg_10bpm,1AB,L,Resultant,HeavyHand,25.433224825723734,23.870557546592337,7.92445438466973,5.2918669847734074,43.33085268383179,AB
15kg_10bpm,1AB,L,Resultant,postRiCTO,6.670804203205418,4.1754673907922335,8.019916089961859,5.303869626914903,8.197905746744315,AB
15kg_10bpm,1AB,L,Resultant,preRiCTO,25.095506240038834,24.011157420794454,8.019916089961859,5.303869626914903,42.46427620000081,AB
15kg_10bpm,1AB,L,Vertical,HeavyHand,25.87812365029806,27.203906235172745,6.862789997993499,1.5230553689772994,42.92240457770263,AB
15kg_10bpm,1AB,L,Vertical,postRiCTO,5.594117907412436,7.0175452803079486,6.948137902716053,1.551774622705472,5.047640375863255,AB
15kg_10bpm,1AB,L,Vertical,preRiCTO,25.61249694772154,27.372453564703314,6.948137902716053,1.551774622705472,42.17983660467986,AB
15kg_10bpm,1AB,R,AP,HeavyHand,16.657013628245302,5.045134057650584,11.41418574093211,22.608623350544587,20.894326442189897,AB
15kg_10bpm,1AB,R,AP,postRiCTO,15.415170390639165,5.1512192594052095,11.48217574235325,22.56465424137305,16.76982096904528,AB
15kg_10bpm,1AB,R,AP,preRiCTO,16.636950006729418,5.231083591076254,11.48217574235325,22.56465424137305,20.797922649105093,AB
15kg_10bpm,1AB,R,ML,HeavyHand,16.803847347147606,22.47684480716049,15.663718717206487,10.117393504357816,16.63666092586363,AB
15kg_10bpm,1AB,R,ML,postRiCTO,16.494741659161182,22.099342180376684,15.671506486025693,10.118922113897924,15.89688662708938,AB
15kg_10bpm,1AB,R,ML,preRiCTO,16.80661241183323,22.496919591937644,15.671506486025693,10.118922113897924,16.61345841311358,AB
15kg_10bpm,1AB,R,Resultant,HeavyHand,27.764473311045904,23.59344490834525,2.8855723251555987,2.7153731183051595,49.438657898822456,AB
15kg_10bpm,1AB,R,Resultant,postRiCTO,5.923659404121482,5.474493197983846,2.828543327305659,2.7264908368411462,9.625590249683466,AB
15kg_10bpm,1AB,R,Resultant,preRiCTO,27.43513492429105,23.843826958086044,2.828543327305659,2.7264908368411462,48.6044818757232,AB
15kg_10bpm,1AB,R,Vertical,HeavyHand,28.273205079384386,25.74938507476964,7.4523215472786974,3.6927550475769317,49.00222815624675,AB
15kg_10bpm,1AB,R,Vertical,postRiCTO,7.672982871260343,5.8012019271826105,7.447365351131793,3.640443754546111,11.413707430993348,AB
15kg_10bpm,1AB,R,Vertical,preRiCTO,27.977176872938387,26.013312690788794,7.447365351131793,3.640443754546111,48.206188574923175,AB
15kg_10bpm,2AB,L,AP,HeavyHand,15.51903019535768,8.836197866684518,11.364637492737284,18.626068881595298,20.06793713008696,AB
15kg_10bpm,2AB,L,AP,postRiCTO,15.320894354241712,8.635136076372765,11.380992631362512,18.518331843980683,19.643143861435778,AB
15kg_10bpm,2AB,L,AP,preRiCTO,15.523409180786263,8.762431580075082,11.380992631362512,18.518331843980683,20.198728180778822,AB
15kg_10bpm,2AB,L,ML,HeavyHand,20.86332695852447,23.479556217968337,23.075474759600244,20.32999644391734,15.855384083142631,AB
15kg_10bpm,2AB,L,ML,postRiCTO,19.917277264800024,23.523535808085246,23.06133669240385,20.322193909648934,10.023342931403828,AB
15kg_10bpm,2AB,L,ML,preRiCTO,20.994881882076815,23.58195344114457,23.06133669240385,20.322193909648934,16.403749575379354,AB
15kg_10bpm,2AB,L,Resultant,HeavyHand,26.775987051927327,25.9610043002358,9.140726981689022,6.263230697042625,44.93304181832356,AB
15kg_10bpm,2AB,L,Resultant,postRiCTO,7.793270574538014,7.222813756326813,9.136264273015303,6.282172138217756,8.219560244799244,AB
15kg_10bpm,2AB,L,Resultant,preRiCTO,26.967404238998064,26.131708652764377,9.136264273015303,6.282172138217756,45.27958013680721,AB
15kg_10bpm,2AB,L,Vertical,HeavyHand,27.759601930622186,30.21321961810698,7.39403858514319,3.0223568994627694,45.32532754603947,AB
15kg_10bpm,2AB,L,Vertical,postRiCTO,5.664421307293934,6.573502856515464,7.389591486843554,3.0372827000171245,4.65997827135617,AB
15kg_10bpm,2AB,L,Vertical,preRiCTO,27.867121457394443,30.414941471441114,7.389591486843554,3.0372827000171245,45.45146479788273,AB
15kg_10bpm,2AB,R,AP,HeavyHand,17.911215317111203,6.805791857108298,14.381537238452847,23.154352835058535,22.075210830847944,AB
15kg_10bpm,2AB,R,AP,postRiCTO,16.612100261190278,6.283201122767455,14.405981988580322,23.30255767885042,17.674020688087666,AB
15kg_10bpm,2AB,R,AP,preRiCTO,18.018791316496177,6.726898571496932,14.405981988580322,23.30255767885042,22.272390631663544,AB
15kg_10bpm,2AB,R,ML,HeavyHand,19.587732272051117,26.260687775198836,18.383847412397603,12.440580071718998,18.803298397208067,AB
15kg_10bpm,2AB,R,ML,postRiCTO,19.41849427259837,26.026577669407096,18.386705749348845,12.403989988531144,18.45165551572804,AB
15kg_10bpm,2AB,R,ML,preRiCTO,19.58457533063538,26.249817269386867,18.386705749348845,12.403989988531144,18.82566181632806,AB
15kg_10bpm,2AB,R,Resultant,HeavyHand,28.034802392094658,21.82914962378529,2.2257801456754907,1.719751005290685,50.86572796236572,AB
15kg_10bpm,2AB,R,Resultant,postRiCTO,6.278596424865783,7.316993589299368,2.221634071012819,1.724339625343359,9.697963848205296,AB
15kg_10bpm,2AB,R,Resultant,preRiCTO,28.355150391694742,21.946272057993383,2.221634071012819,1.724339625343359,51.503089290832605,AB
15kg_10bpm,2AB,R,Vertical,HeavyHand,28.854300681733648,23.81113201900098,8.515459247779562,4.931100165509779,50.95045382688042,AB
15kg_10bpm,2AB,R,Vertical,postRiCTO,8.837630938857474,6.670376849953317,8.539162192220534,4.959025328356631,12.917485198125279,AB
15kg_10bpm,2AB,R,Vertical,preRiCTO,29.151500564659937,23.97790371718871,8.539162192220534,4.959025328356631,51.52280348646631,AB
15kg_10bpm,4AB,L,AP,HeavyHand,16.009925657462677,8.842931387696277,12.24305978517697,19.433765529673636,20.328135010349882,AB
15kg_10bpm,4AB,L,AP,postRiCTO,15.697264802225764,8.336765413828212,12.241116230228034,19.33059501232727,19.671684216686277,AB
15kg_10bpm,4AB,L,AP,preRiCTO,15.99648105768969,8.70806560734742,12.241116230228034,19.33059501232727,20.43841322238288,AB
15kg_10bpm,4AB,L,ML,HeavyHand,18.15701232101328,21.329306757594896,18.587508584597344,17.10776992834215,15.152585318112257,AB
15kg_10bpm,4AB,L,ML,postRiCTO,17.751916156442505,21.297504818739554,18.54691734506832,17.101982676066005,13.267864010928083,AB
15kg_10bpm,4AB,L,ML,preRiCTO,18.152180215150615,21.471282104084487,18.54691734506832,17.101982676066005,14.990533630406354,AB
15kg_10bpm,4AB,L,Resultant,HeavyHand,24.200901976136244,25.70785734014291,8.970981374991428,6.975993084942868,38.92948576889484,AB
15kg_10bpm,4AB,L,Resultant,postRiCTO,6.900286493235994,5.282798682194654,8.966490625910051,7.01865634399867,5.784006460641026,AB
15kg_10bpm,4AB,L,Resultant,preRiCTO,24.228676061166652,25.944331968881553,8.966490625910051,7.01865634399867,38.83926779942987,AB
15kg_10bpm,4AB,L,Vertical,HeavyHand,27.031508950021493,29.989597143774116,9.371874534337158,2.815349099728895,43.37785508025786,AB
15kg_10bpm,4AB,L,Vertical,postRiCTO,6.3869182969054155,6.800458984199911,9.362765458300006,2.846546545393037,4.681403849338405,AB
15kg_10bpm,4AB,L,Vertical,preRiCTO,27.071091768600816,30.24870270538283,9.362765458300006,2.846546545393037,43.300621541738785,AB
15kg_10bpm,4AB,R,AP,HeavyHand,16.860732295823478,7.51805702935887,13.652359285042662,25.565699610764007,15.566095238572279,AB
15kg_10bpm,4AB,R,AP,postRiCTO,16.524885803523908,6.783843143766771,13.726693981609392,25.70322756707115,14.145932905656045,AB
15kg_10bpm,4AB,R,AP,preRiCTO,16.930983050642826,7.532644248298938,13.726693981609392,25.70322756707115,15.574890767805503,AB
15kg_10bpm,4AB,R,ML,HeavyHand,18.565971640495334,24.055532449700394,17.60480146516794,16.013330687645723,15.428014858169986,AB
15kg_10bpm,4AB,R,ML,postRiCTO,18.316682493844663,23.65979004307973,17.603153142805326,15.93791772548226,14.927696823372969,AB
15kg_10bpm,4AB,R,ML,preRiCTO,18.55635438857638,24.091264911594877,17.603153142805326,15.93791772548226,15.406336648112955,AB
15kg_10bpm,4AB,R,Resultant,HeavyHand,27.115531709396482,22.560328490695802,2.1555166406947617,2.2089661975468493,48.55532249869293,AB
15kg_10bpm,4AB,R,Resultant,postRiCTO,6.622836725267281,6.790032379137155,2.1309841467331587,2.3262738587964327,10.792855569609085,AB
15kg_10bpm,4AB,R,Resultant,preRiCTO,27.18945411023285,22.899454166430854,2.1309841467331587,2.3262738587964327,48.55903099897821,AB
15kg_10bpm,4AB,R,Vertical,HeavyHand,28.410158924552544,24.33138428550145,9.967679625049854,4.385086445620628,49.51916998832679,AB
15kg_10bpm,4AB,R,Vertical,postRiCTO,9.130789550698822,6.671870413698963,9.971468858696486,4.437764911604925,12.904319512411934,AB
15kg_10bpm,4AB,R,Vertical,preRiCTO,28.488928912029767,24.67265150751936,9.971468858696486,4.437764911604925,49.527356116233754,AB
15kg_10bpm,5AB,L,AP,HeavyHand,15.926609956784736,6.629982968442587,11.182530034276258,20.073181779362148,20.866692639370452,AB
15kg_10bpm,5AB,L,AP,postRiCTO,15.466329628446372,6.320395999136953,11.127750264344776,20.095127007119267,19.58240335063102,AB
15kg_10bpm,5AB,L,AP,preRiCTO,15.90955370696626,6.638347845971681,11.127750264344776,20.095127007119267,20.821390976487216,AB
15kg_10bpm,5AB,L,ML,HeavyHand,20.880073760282684,20.290747032272858,22.259468053540097,25.636323411676305,13.760646539988986,AB
15kg_10bpm,5AB,L,ML,postRiCTO,20.30100758451034,20.414511245192045,22.212349205613585,25.64675210318959,9.663186093095387,AB
