app,axis,hand,mass_kg,tempo_bpm,n,RMSE_mean,RMSE_std,RMSE_median
postRiCTO,ML,L,7.0,10,36,10.854190088142168,3.1312139186444745,10.896903201990433
postRiCTO,ML,L,7.0,16,30,8.703024156686897,3.9554363450935077,7.29744745044263
postRiCTO,ML,L,15.0,10,36,16.22789604381292,4.331127300660059,16.198135457846192
postRiCTO,ML,L,15.0,16,30,17.114795157879897,4.773917528505139,16.24608179445363
postRiCTO,ML,R,7.0,10,36,10.195332780635146,2.7897486551683026,10.068174595470186
postRiCTO,ML,R,7.0,16,30,9.047480707111447,2.1004961806683724,9.280258867608332
postRiCTO,ML,R,15.0,10,36,15.34681071427292,3.444127166321657,15.15247731804721
postRiCTO,ML,R,15.0,16,30,17.21524278603153,2.3301783244855008,17.48490753382862
postRiCTO,Resultant,L,7.0,10,36,4.745172186734878,1.3246448032290237,4.702346574106997
postRiCTO,Resultant,L,7.0,16,30,6.149767176001741,1.4088862414121024,5.791285946623651
postRiCTO,Resultant,L,15.0,10,36,6.290743757631784,1.2112050884050145,6.521561882451229
postRiCTO,Resultant,L,15.0,16,30,10.376151804366085,3.265778311834657,10.508666706577369
postRiCTO,Resultant,R,7.0,10,36,4.904631629536673,1.3571508669238561,4.548399899772854
postRiCTO,Resultant,R,7.0,16,30,5.523551746927244,0.7742715044936858,5.388887966650364
postRiCTO,Resultant,R,15.0,10,36,5.403312217247748,1.179007433845106,5.682256413656855
postRiCTO,Resultant,R,15.0,16,30,8.849774919126064,1.8844771890817729,8.30395631405248
postRiCTO,Vertical,L,7.0,10,36,3.218331764405636,1.1935157962617928,2.9244488554059402
postRiCTO,Vertical,L,7.0,16,30,5.0208148057711695,1.3278353245725176,4.971943308864699
postRiCTO,Vertical,L,15.0,10,36,5.263288848330554,1.00957751938366,5.503879986870762
postRiCTO,Vertical,L,15.0,16,30,9.028665925788589,3.088691747693177,9.775331790221742
postRiCTO,Vertical,R,7.0,10,36,4.255964386479715,1.284560153696856,3.8868711522599018
postRiCTO,Vertical,R,7.0,16,30,4.799716409446931,0.8255845920582378,4.732035479270137
postRiCTO,Vertical,R,15.0,10,36,6.670847262015392,1.373351009087043,6.433230748501943
postRiCTO,Vertical,R,15.0,16,30,8.633460243931312,1.7640119906630183,8.583043056920094
preRiCTO,AP,L,7.0,10,36,7.616975365885422,1.3016561810810066,7.43994107097297
preRiCTO,AP,L,7.0,16,30,7.7152380239324,2.1687425412163575,6.941279534954729
preRiCTO,AP,L,15.0,10,36,11.305433964217475,3.4730628427980332,9.901305668058232
preRiCTO,AP,L,15.0,16,30,12.434584313482326,2.7318340953068287,12.125725314588077
preRiCTO,AP,R,7.0,10,36,8.70419824061078,1.7189264014724666,8.6530170939439
