cond,seg,onset_t,offset_t,duration_s,n_raw,n_resampled,scale_ratio,tempo_bpm,mass_kg,section,sec_per_pct
7kg_10bpm,13CA,2.307,4.216,1.9090000000000003,191,101,0.5287958115183246,10,7.0,CA,0.019090000000000003
7kg_10bpm,1CA,2.358,3.97,1.612,162,101,0.6234567901234568,10,7.0,CA,0.016120000000000002
7kg_10bpm,3CA,2.293,3.761,1.468,147,101,0.6870748299319728,10,7.0,CA,0.01468
7kg_10bpm,5CA,2.335,4.124,1.7889999999999997,179,101,0.5642458100558659,10,7.0,CA,0.017889999999999996
7kg_10bpm,6CA,2.324,3.978,1.6540000000000004,165,101,0.6121212121212121,10,7.0,CA,0.016540000000000003
7kg_10bpm,7CA,2.288,4.068,1.7799999999999998,178,101,0.5674157303370787,10,7.0,CA,0.017799999999999996
7kg_10bpm,8CA,2.401,4.471,2.0700000000000003,207,101,0.48792270531400966,10,7.0,CA,0.020700000000000003
7kg_10bpm,9CA,2.341,4.522,2.181,218,101,0.463302752293578,10,7.0,CA,0.02181
7kg_16bpm,10AB,0.93,2.392,1.4619999999999997,147,101,0.6870748299319728,16,7.0,AB,0.014619999999999998
7kg_16bpm,1AB,1.074,2.635,1.5609999999999997,156,101,0.6474358974358975,16,7.0,AB,0.015609999999999997
7kg_16bpm,2AB,1.179,2.812,1.6329999999999998,164,101,0.6158536585365854,16,7.0,AB,0.016329999999999997
7kg_16bpm,3AB,0.909,2.484,1.575,158,101,0.6392405063291139,16,7.0,AB,0.01575
7kg_16bpm,4AB,1.012,2.531,1.5190000000000001,152,101,0.6644736842105263,16,7.0,AB,0.015190000000000002
7kg_16bpm,5AB,0.937,2.44,1.503,151,101,0.6688741721854304,16,7.0,AB,0.015029999999999998
7kg_16bpm,6AB,0.931,2.398,1.467,146,101,0.6917808219178082,16,7.0,AB,0.01467
7kg_16bpm,7AB,0.94,2.389,1.4489999999999998,145,101,0.696551724137931,16,7.0,AB,0.014489999999999998
7kg_16bpm,8AB,0.963,2.376,1.4129999999999998,141,101,0.7163120567375887,16,7.0,AB,0.014129999999999998
7kg_16bpm,9AB,0.933,2.442,1.5090000000000001,151,101,0.6688741721854304,16,7.0,AB,0.015090000000000001
7kg_16bpm,10BC,1.278,2.566,1.2879999999999998,129,101,0.7829457364341085,16,7.0,BC,0.012879999999999997
7kg_16bpm,1BC,1.2,2.625,1.425,143,101,0.7062937062937062,16,7.0,BC,0.01425
7kg_16bpm,2BC,1.264,2.588,1.324,132,101,0.7651515151515151,16,7.0,BC,0.01324
7kg_16bpm,3BC,1.259,2.541,1.282,129,101,0.7829457364341085,16,7.0,BC,0.01282
7kg_16bpm,4BC,1.225,2.557,1.3319999999999999,133,101,0.7593984962406015,16,7.0,BC,0.013319999999999999
7kg_16bpm,5BC,1.24,2.419,1.179,118,101,0.8559322033898306,16,7.0,BC,0.01179
7kg_16bpm,6BC,1.249,2.508,1.259,126,101,0.8015873015873016,16,7.0,BC,0.012589999999999999
7kg_16bpm,7BC,1.187,2.418,1.231,123,101,0.8211382113821138,16,7.0,BC,0.012310000000000001
7kg_16bpm,8BC,1.197,2.403,1.206,121,101,0.8347107438016529,16,7.0,BC,0.01206
7kg_16bpm,9BC,1.248,2.454,1.2060000000000002,121,101,0.8347107438016529,16,7.0,BC,0.012060000000000001
7kg_16bpm,10CA,1.254,2.805,1.5510000000000002,155,101,0.6516129032258065,16,7.0,CA,0.015510000000000001
7kg_16bpm,1CA,1.292,3.133,1.841,184,101,0.5489130434782609,16,7.0,CA,0.01841
7kg_16bpm,2CA,1.164,2.468,1.304,130,101,0.7769230769230769,16,7.0,CA,0.013040000000000001
7kg_16bpm,3CA,1.191,2.773,1.582,158,101,0.6392405063291139,16,7.0,CA,0.01582
7kg_16bpm,4CA,1.187,2.57,1.3829999999999998,139,101,0.7266187050359713,16,7.0,CA,0.013829999999999999
7kg_16bpm,5CA,1.237,2.676,1.439,144,101,0.7013888888888888,16,7.0,CA,0.01439
7kg_16bpm,6CA,1.279,2.741,1.4620000000000002,147,101,0.6870748299319728,16,7.0,CA,0.014620000000000001
7kg_16bpm,7CA,1.219,2.782,1.563,157,101,0.643312101910828,16,7.0,CA,0.015629999999999998
7kg_16bpm,8CA,1.223,2.745,1.522,152,101,0.6644736842105263,16,7.0,CA,0.015220000000000001
7kg_16bpm,9CA,1.199,2.642,1.4429999999999998,145,101,0.696551724137931,16,7.0,CA,0.014429999999999998
