cond,seg,hand,axis,app,RMSE_full,RMSE_q1,RMSE_q2,RMSE_q3,RMSE_q4,section
15kg_16bpm,10CA,R,Resultant,HeavyHand,35.4417428935429,56.314171879747136,6.266409237013415,2.577795876856653,42.26193927904948,CA
15kg_16bpm,10CA,R,Vertical,HeavyHand,37.620909386948775,62.16659881206555,6.147940778671607,2.785820799797868,41.691410110951516,CA
15kg_16bpm,1CA,L,AP,HeavyHand,12.142061613170013,16.107185834069597,12.747193152834228,5.846136840124996,11.581904924958325,CA
15kg_16bpm,1CA,L,ML,HeavyHand,15.427628736714528,24.913863550533456,11.63700144184809,11.417237350969456,8.497379380442144,CA
15kg_16bpm,1CA,L,Resultant,HeavyHand,26.176496107347017,26.580079001616188,9.221194641249864,2.885795891943276,43.50492128988003,CA
15kg_16bpm,1CA,L,Vertical,HeavyHand,25.92682552767748,27.852404336733862,3.037893349397454,2.532550600418597,43.014868886831024,CA
15kg_16bpm,1CA,R,AP,HeavyHand,15.256808449815326,24.064487691238586,15.081595047116874,3.3098721088681144,10.869960993328515,CA
15kg_16bpm,1CA,R,ML,HeavyHand,15.99165171614283,16.410761031581956,22.898112153056903,9.279816181622138,12.145330269589966,CA
15kg_16bpm,1CA,R,Resultant,HeavyHand,29.54062612648833,34.865488644900935,6.625064253815227,2.2045074346222413,46.628097789578305,CA
15kg_16bpm,1CA,R,Vertical,HeavyHand,30.258644868443806,38.706995949749015,6.038441325453688,3.5176723115848514,45.48771445594765,CA
15kg_16bpm,2CA,L,AP,HeavyHand,11.73924246291124,16.72034678070946,12.144744500000952,7.996153467821032,7.9510740226232395,CA
15kg_16bpm,2CA,L,ML,HeavyHand,17.790114116392548,26.837380674054607,14.336905588910472,13.29953270587459,13.006756158744846,CA
15kg_16bpm,2CA,L,Resultant,HeavyHand,24.752357624536252,24.850706869100307,9.622863771762535,2.595102634267807,41.11817284299697,CA
15kg_16bpm,2CA,L,Vertical,HeavyHand,24.83098095356811,27.101855921877796,3.1476723195945886,1.7043047956366826,40.94614749878929,CA
15kg_16bpm,2CA,R,AP,HeavyHand,15.307959604569481,23.632972091768103,18.39422516994351,4.458918278720396,5.367370470791078,CA
15kg_16bpm,2CA,R,ML,HeavyHand,15.50365490101606,13.538527322549207,23.21450437000885,9.729871652254944,12.176287492849465,CA
15kg_16bpm,2CA,R,Resultant,HeavyHand,27.968227669584127,33.43460596746693,8.487935245021456,2.8914736759931547,43.43316445244723,CA
15kg_16bpm,2CA,R,Vertical,HeavyHand,29.54086525236014,38.191987327615976,8.669012591064146,3.0473358797892995,43.66052891921308,CA
15kg_16bpm,3CA,L,AP,HeavyHand,11.212688358632905,17.594205102239762,8.647237646891552,5.648358845107056,9.389630449423102,CA
15kg_16bpm,3CA,L,ML,HeavyHand,18.033456077990483,24.207254833304276,16.613374135673894,15.996258791026035,13.726542646457982,CA
15kg_16bpm,3CA,L,Resultant,HeavyHand,25.145162264368615,29.726883187192037,7.811992307911362,4.092049207766513,39.13669626174142,CA
15kg_16bpm,3CA,L,Vertical,HeavyHand,25.7338587573123,32.41050522345403,3.4290104880052494,3.5831070368366778,39.227854946147495,CA
15kg_16bpm,3CA,R,AP,HeavyHand,14.195540559930421,22.669263677932463,15.011943276144917,2.559983518469346,8.104281263237485,CA
15kg_16bpm,3CA,R,ML,HeavyHand,16.565145062769997,17.069540162150766,20.74528997018646,12.807607193067634,14.637321428135026,CA
15kg_16bpm,3CA,R,Resultant,HeavyHand,26.1494526698403,26.15931785918677,7.451512963938551,3.3279804987939126,43.9800746428698,CA
15kg_16bpm,3CA,R,Vertical,HeavyHand,26.84248140232951,28.833265048240605,6.790934221949141,2.394501635766141,44.15541155764901,CA
15kg_16bpm,4CA,L,AP,HeavyHand,14.741040673632815,22.684992680714156,14.170806954824279,5.998166103101638,11.028215233990426,CA
15kg_16bpm,4CA,L,ML,HeavyHand,19.5810717606716,24.26706616449082,16.922570096002914,18.645203127771055,17.70763474726897,CA
15kg_16bpm,4CA,L,Resultant,HeavyHand,24.51101873182367,26.99411263360107,10.28822310267759,2.764101860645989,39.03920426063936,CA
15kg_16bpm,4CA,L,Vertical,HeavyHand,25.343275208325657,31.30221129539493,1.8375861797346829,2.7217817467529417,39.27472771100679,CA
15kg_16bpm,4CA,R,AP,HeavyHand,17.99360288085066,26.015374848394092,22.79984741460186,6.571132589112329,8.098979885021487,CA
15kg_16bpm,4CA,R,ML,HeavyHand,18.05471737322648,17.324647131158468,23.472700890851215,13.601975180928962,16.431834028807753,CA
15kg_16bpm,4CA,R,Resultant,HeavyHand,26.492638224321347,24.333139250287736,6.858502795404708,4.605342381569673,45.732962471984834,CA
15kg_16bpm,4CA,R,Vertical,HeavyHand,28.000846713216824,27.92965308296828,7.785756851900358,2.5464251137354554,47.23492587529918,CA
15kg_16bpm,5CA,L,AP,HeavyHand,15.72440695856539,23.34034260999709,17.1940997988278,5.311876255519129,11.192953027043147,CA
15kg_16bpm,5CA,L,ML,HeavyHand,21.603567596572873,29.77815935085204,17.64282116139558,18.23410832649301,18.47645272717607,CA
15kg_16bpm,5CA,L,Resultant,HeavyHand,22.639264026843254,24.990891016373045,12.42906938498827,2.8921963687603793,35.126903922270536,CA
15kg_16bpm,5CA,L,Vertical,HeavyHand,22.722153248986054,27.423986954771053,2.91735551728827,3.280452537639695,35.55182363670288,CA
15kg_16bpm,5CA,R,AP,HeavyHand,19.72656143620608,31.11411134044101,20.849030501129615,6.152118792732278,11.244478578704667,CA
15kg_16bpm,5CA,R,ML,HeavyHand,19.775208674687903,18.593887760185662,25.779568644047785,12.374281322940526,20.010483018621397,CA
15kg_16bpm,5CA,R,Resultant,HeavyHand,25.59963245658187,24.3265421088752,7.8947486831487215,4.753591177598553,43.53241539906811,CA
15kg_16bpm,5CA,R,Vertical,HeavyHand,26.353091663452243,26.923862782395165,8.16962941613683,4.171037365915165,43.81655809548096,CA
15kg_16bpm,6CA,L,AP,HeavyHand,14.088376012742085,21.75383835069372,14.491671775838014,3.332077146779709,10.168194959976644,CA
15kg_16bpm,6CA,L,ML,HeavyHand,18.626333476557818,24.66729555521123,18.120154432752784,16.95550863221801,13.058082798183255,CA
15kg_16bpm,6CA,L,Resultant,HeavyHand,23.135546406117726,22.913445519743973,8.173500495875379,1.1024967539966697,38.846054340077806,CA
15kg_16bpm,6CA,L,Vertical,HeavyHand,23.28135487500839,24.933170601120604,2.5411441339497003,1.439766953858246,38.72453828549101,CA
15kg_16bpm,6CA,R,AP,HeavyHand,16.3923617011499,27.106003343934287,13.573122499414403,5.704368388953078,11.35449669770762,CA
15kg_16bpm,6CA,R,ML,HeavyHand,18.92928649425189,22.646464427768887,24.809372483040082,11.756948335229398,13.192768851775975,CA
15kg_16bpm,6CA,R,Resultant,HeavyHand,25.676714160193658,23.93825562410175,9.109912615910297,4.382451017510367,43.72455171015844,CA
15kg_16bpm,6CA,R,Vertical,HeavyHand,26.638978943063123,28.55063097247105,7.36983225992298,3.4294479907475983,43.69597911547175,CA
15kg_16bpm,7CA,L,AP,HeavyHand,12.940548038527576,21.27741536495656,10.599672380882375,4.274259073561194,9.465458239364867,CA
15kg_16bpm,7CA,L,ML,HeavyHand,13.791897084857778,22.155238210100066,10.636007841316324,10.387925419870857,7.376295214139768,CA
15kg_16bpm,7CA,L,Resultant,HeavyHand,24.336131294084232,23.305110658412538,6.22526085356246,1.423448368411326,41.70374886479328,CA
15kg_16bpm,7CA,L,Vertical,HeavyHand,24.59304183604309,25.941431913364642,1.9350018873057675,1.824053811529519,41.17778341603813,CA
15kg_16bpm,7CA,R,AP,HeavyHand,15.623525228299213,27.361527171317228,10.88905204610798,5.053016898646447,9.475897586467745,CA
15kg_16bpm,7CA,R,ML,HeavyHand,15.78198559544462,21.366751148813453,20.05970133714078,7.035747270877646,9.69812174828833,CA
15kg_16bpm,7CA,R,Resultant,HeavyHand,24.45926251585049,23.379098710101648,7.130959743753923,2.6194242692721783,41.74853849726312,CA
15kg_16bpm,7CA,R,Vertical,HeavyHand,24.919075914106028,26.69850372617043,6.564120506842703,3.046038281446422,40.94442367136812,CA
15kg_16bpm,8CA,L,AP,HeavyHand,9.962049479918939,13.785680682263404,8.467913862547274,5.187369541840016,10.390456824125028,CA
15kg_16bpm,8CA,L,ML,HeavyHand,13.92622003500988,20.81132971770095,12.748091068043804,11.076405914482532,7.918088077319596,CA
15kg_16bpm,8CA,L,Resultant,HeavyHand,22.611640994062856,26.679650257371563,4.644859919790815,2.840186616632146,35.68224570060489,CA
15kg_16bpm,8CA,L,Vertical,HeavyHand,22.789453495319318,28.11828267407676,2.781300917165705,2.5804891703893587,35.26246029633044,CA
15kg_16bpm,8CA,R,AP,HeavyHand,13.043513619850705,19.414787446202183,13.347692174225505,4.946303282690675,10.1799929151935,CA
15kg_16bpm,8CA,R,ML,HeavyHand,12.483492016363718,11.595717442496568,18.88516432189435,9.12156136030718,7.290062947282316,CA
15kg_16bpm,8CA,R,Resultant,HeavyHand,23.241168993755366,27.386215523783168,6.775010599437952,3.293875150718294,36.366968309523436,CA
15kg_16bpm,8CA,R,Vertical,HeavyHand,24.033343515161256,30.147287215106527,6.811818557125223,2.900047767806307,36.2926193830573,CA
15kg_16bpm,9CA,L,AP,HeavyHand,13.747961638141856,19.019402617827925,12.44942850798261,4.533865588772495,14.751276720884977,CA
15kg_16bpm,9CA,L,ML,HeavyHand,14.733030832259026,22.223767323182372,9.993900167614159,13.136688683672915,10.311719142950958,CA
15kg_16bpm,9CA,L,Resultant,HeavyHand,25.455308905999637,26.633659234080714,6.790601960992154,1.9880056862158115,42.27194093764597,CA
15kg_16bpm,9CA,L,Vertical,HeavyHand,25.184894376014746,28.906175667644128,2.29814810182963,1.898287855199551,40.64426823420156,CA
15kg_16bpm,9CA,R,AP,HeavyHand,14.735812578817459,22.03667538777781,11.288382397048238,3.483164392549881,15.56893426928757,CA
15kg_16bpm,9CA,R,ML,HeavyHand,17.233657226010127,21.55566692442542,22.875192730673906,9.303794284078041,10.980486016596641,CA
15kg_16bpm,9CA,R,Resultant,HeavyHand,26.43451312952437,28.437506393920046,6.800339336665792,2.1911809952860315,43.44921458309816,CA
15kg_16bpm,9CA,R,Vertical,HeavyHand,26.67528308185714,31.43548418987759,5.32235948535177,2.0181039862920382,42.223715295001725,CA
7kg_10bpm,10AB,L,AP,HeavyHand,8.27826937357167,2.2219281340248767,11.343380438305015,9.440447675689384,7.2143599001863805,AB
7kg_10bpm,10AB,L,ML,HeavyHand,12.731545208885807,19.688390077042243,9.93273930725095,11.966672647062028,4.9380192177168825,AB
7kg_10bpm,10AB,L,Resultant,HeavyHand,12.358446300001171,9.603986651375969,3.940177547371184,2.3685712172852007,22.00660607290813,AB
7kg_10bpm,10AB,L,Vertical,HeavyHand,12.510782537097755,9.19502986533493,3.3538044476936286,1.0357001369201613,22.690862543324215,AB
7kg_10bpm,10AB,R,AP,HeavyHand,11.07208916143172,3.701523607667854,7.507101919523864,14.054270472566747,14.796306229753243,AB
7kg_10bpm,10AB,R,ML,HeavyHand,14.349222254871307,20.641364535680918,17.782867595220768,5.640912157194081,7.4498660727743315,AB
7kg_10bpm,10AB,R,Resultant,HeavyHand,11.154528642215574,11.380735773787226,6.6219033497346595,2.5440066209864045,17.61850690204274,AB
7kg_10bpm,10AB,R,Vertical,HeavyHand,12.483045005815796,13.944005585224016,2.9103821372773604,2.70923499594138,20.079005893177918,AB
7kg_10bpm,11AB,L,AP,HeavyHand,7.1259743121616514,2.848626354304757,9.201375638948576,7.440201669918988,7.404042122492774,AB
7kg_10bpm,11AB,L,ML,HeavyHand,10.156426522947175,14.32266702518738,5.675114521563299,11.404981718869111,6.88635742287111,AB
7kg_10bpm,11AB,L,Resultant,HeavyHand,10.850308976324909,9.35227671260784,1.8343648686554164,1.8419516173562145,19.150296939375657,AB
7kg_10bpm,11AB,L,Vertical,HeavyHand,12.166837168685518,11.448773486823157,2.030750918282302,1.235385841200507,21.061367340087624,AB
7kg_10bpm,11AB,R,AP,HeavyHand,10.381971721783312,3.175028076890928,5.111898006731082,14.256746940913237,13.727625955301143,AB
7kg_10bpm,11AB,R,ML,HeavyHand,11.253996454442053,15.95859370199495,13.311227249779604,4.066820671219969,7.7998599606358106,AB
7kg_10bpm,11AB,R,Resultant,HeavyHand,8.644882482195614,8.431774863326748,4.16129918025682,1.7275323024111553,14.227875070405208,AB
7kg_10bpm,11AB,R,Vertical,HeavyHand,9.49410827759031,8.913138133460723,2.0367976855749426,1.5178725100314627,16.357231359880235,AB
7kg_10bpm,12AB,L,AP,HeavyHand,8.471450677440508,3.4682296598297366,8.581988838108172,11.423792677606572,8.421032325989119,AB
7kg_10bpm,12AB,L,ML,HeavyHand,12.253999413609275,16.828844020792555,9.996403642570534,12.535212292622559,7.98910330589885,AB
7kg_10bpm,12AB,L,Resultant,HeavyHand,9.71093368615916,8.71720328811757,3.5486204298671566,3.0006297643065096,16.507425556575633,AB
7kg_10bpm,12AB,L,Vertical,HeavyHand,10.406050339333957,9.482824631345583,2.9800216249768594,1.1514378115591821,18.010271350877463,AB
7kg_10bpm,12AB,R,AP,HeavyHand,10.268247388133414,3.401070872352379,7.479267412802626,16.176967749170895,9.645848260137456,AB
7kg_10bpm,12AB,R,ML,HeavyHand,12.401723171602935,17.617323860588844,12.741052985081899,8.785178407880537,8.290354054879527,AB
7kg_10bpm,12AB,R,Resultant,HeavyHand,11.130933196221292,9.894287717966286,4.654476582969723,3.9562459680487287,18.742527699795367,AB
7kg_10bpm,12AB,R,Vertical,HeavyHand,11.272334731484806,11.196260911764991,1.8852601677788243,1.5201973798761523,19.16836531562505,AB
7kg_10bpm,13AB,L,AP,HeavyHand,8.130498680468737,1.5436217860525698,9.695109882245124,10.294182553312869,7.88841148799114,AB
7kg_10bpm,13AB,L,ML,HeavyHand,11.400523182557894,15.327114072833998,6.036775720443076,12.403962318415148,9.799196611513501,AB
7kg_10bpm,13AB,L,Resultant,HeavyHand,11.906811867892149,8.780043372856412,3.5469166153092098,2.7952343296580793,21.377478446525057,AB
7kg_10bpm,13AB,L,Vertical,HeavyHand,13.023009806737662,10.73336638273404,3.946632295951996,0.8421463499727996,23.073645018604758,AB
7kg_10bpm,13AB,R,AP,HeavyHand,9.567845234148752,3.332214372760169,5.911844653242592,15.558505487366787,8.864131664106063,AB
7kg_10bpm,13AB,R,ML,HeavyHand,11.04827189941664,16.445804681519622,13.038233818501778,4.5450250372064085,5.548954771192176,AB
7kg_10bpm,13AB,R,Resultant,HeavyHand,11.959290251616183,9.950780558328484,4.259627715855288,2.5949284689797683,20.89173931489732,AB
7kg_10bpm,13AB,R,Vertical,HeavyHand,12.21954295499931,11.126039251551877,2.746799673080144,2.5427456072753856,21.15515931396095,AB
7kg_10bpm,1AB,L,AP,HeavyHand,6.294150914712064,3.960306193523872,5.029746164951139,7.089339059559491,8.134027319188059,AB
7kg_10bpm,1AB,L,ML,HeavyHand,8.213904731128544,13.838520530838116,1.8210903032033243,4.306773739496228,7.5448869943264265,AB
7kg_10bpm,1AB,L,Resultant,HeavyHand,9.59352427964684,9.04673463287641,2.1479596721624308,1.2077294185404923,16.522377370191325,AB
7kg_10bpm,1AB,L,Vertical,HeavyHand,10.07686688008778,10.703763045419073,2.3084653739660204,1.0994058619159166,16.673518425598004,AB
7kg_10bpm,1AB,R,AP,HeavyHand,6.991174190089438,3.4723756311176186,3.246109075726571,7.637742394771114,10.58534006861521,AB
7kg_10bpm,1AB,R,ML,HeavyHand,8.88208567551579,14.355500268167106,7.3713157237368385,5.75771539977198,4.917929476921478,AB
7kg_10bpm,1AB,R,Resultant,HeavyHand,11.734612368187975,8.736353813156677,1.045239144547039,1.3144049822266484,21.419987330953415,AB
7kg_10bpm,1AB,R,Vertical,HeavyHand,11.662745904813145,9.813973016029179,1.7122905084294966,1.2667505065949962,20.7704646963864,AB
7kg_10bpm,2AB,L,AP,HeavyHand,7.736941183101807,4.580604175604768,7.349691788267952,9.256165652794028,8.83388032443368,AB
7kg_10bpm,2AB,L,ML,HeavyHand,9.486888342504733,15.82440087980096,6.550349674439655,4.046436527229831,7.199883217439523,AB
7kg_10bpm,2AB,L,Resultant,HeavyHand,12.309377432553198,9.762791578209153,1.7693140112594832,1.3685185065126395,22.184291645532905,AB
7kg_10bpm,2AB,L,Vertical,HeavyHand,13.199593033710919,11.616969278776264,2.418104343807849,1.107815770803745,23.243231761942912,AB
7kg_10bpm,2AB,R,AP,HeavyHand,6.689903400644804,3.1292438024219162,3.744491540356831,7.934439975706797,9.5091403872871,AB
7kg_10bpm,2AB,R,ML,HeavyHand,12.181347485275946,15.96116450889013,9.469881430475768,13.942548966045553,7.636212867289144,AB
7kg_10bpm,2AB,R,Resultant,HeavyHand,13.079693662640114,7.704667690966495,3.1801932306619287,1.4586444838906942,24.407468587098666,AB
7kg_10bpm,2AB,R,Vertical,HeavyHand,13.173540097987436,8.256468985596674,1.0327394794798912,3.314744336668214,24.4337203990713,AB
7kg_10bpm,3AB,L,AP,HeavyHand,8.874644833564911,4.134808131442149,9.599726082133012,10.626990228717725,9.607857164615089,AB
7kg_10bpm,3AB,L,ML,HeavyHand,11.703731315673553,17.886059713639508,9.055441769840742,8.00478723300409,9.167229655228573,AB
