cond,seg,net_max,net_rms,hicks_5pct_max,hicks_5pct_rms,hicks_1pct_max_moment_placeholder,section,hicks_1pct_max
15kg_10bpm,1CA,832.6968351257415,713.1905842567822,41.634841756287074,35.65952921283911,,CA,8.326968351257415
15kg_10bpm,2CA,831.7644647290125,713.0815691437138,41.58822323645063,35.65407845718569,,CA,8.317644647290125
15kg_10bpm,3CA,846.0754484920459,713.6867700645605,42.3037724246023,35.68433850322803,,CA,8.460754484920459
15kg_10bpm,4CA,811.9405774915872,712.5641118573619,40.597028874579365,35.6282055928681,,CA,8.119405774915872
15kg_10bpm,5CA,856.8685618056227,712.9816378100357,42.84342809028114,35.64908189050179,,CA,8.568685618056227
15kg_10bpm,6CA,832.541819179099,713.0772685049413,41.62709095895495,35.65386342524707,,CA,8.32541819179099
15kg_10bpm,7CA,813.0179181759071,713.1383107685763,40.650895908795356,35.65691553842881,,CA,8.130179181759072
15kg_10bpm,8CA,831.4182610702782,712.5756685084966,41.57091305351391,35.628783425424835,,CA,8.314182610702781
15kg_10bpm,9CA,819.5355045508361,712.587248088739,40.97677522754181,35.629362404436954,,CA,8.19535504550836
15kg_16bpm,10AB,917.9170472185381,716.5013333118542,45.89585236092691,35.82506666559271,,AB,9.179170472185382
15kg_16bpm,1AB,885.8692122678543,716.3371024408274,44.29346061339272,35.81685512204137,,AB,8.858692122678544
15kg_16bpm,2AB,921.9452413217095,716.6588955209482,46.09726206608548,35.83294477604741,,AB,9.219452413217097
15kg_16bpm,3AB,922.1816712363917,716.562355920338,46.10908356181959,35.8281177960169,,AB,9.221816712363918
15kg_16bpm,4AB,920.8022471836042,716.8821337862187,46.04011235918021,35.844106689310934,,AB,9.208022471836042
15kg_16bpm,5AB,943.6088275358555,716.993664584963,47.18044137679278,35.84968322924815,,AB,9.436088275358555
15kg_16bpm,6AB,935.6788378513114,716.9127563111329,46.78394189256557,35.84563781555664,,AB,9.356788378513114
15kg_16bpm,7AB,923.7149320120919,716.5917936368269,46.1857466006046,35.82958968184135,,AB,9.237149320120919
